1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,43,69591,6049480,Santa Clara,Mountain View Whisman ,Monta Loma Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,472,184,39.00%,230,48.70%,468,184,39.30%,230,49.10%,Y
2014-2015,43,69591,6049514,Santa Clara,Mountain View Whisman ,Theuerkauf Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,416,233,56.00%,292,70.20%,402,228,56.70%,287,71.40%,Y
2014-2015,43,69609,1,Santa Clara,Mountain View-Los Altos Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,12,0,0.00%,0,0.00%,8,0,0.00%,0,0.00%,Y
2014-2015,43,69609,4334116,Santa Clara,Mountain View-Los Altos Union High,Los Altos High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,920",334,17.40%,390,20.30%,"1,880",325,17.30%,378,20.10%,Y
2014-2015,43,69609,4334728,Santa Clara,Mountain View-Los Altos Union High,Mountain View High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,836",262,14.30%,315,17.20%,"1,775",245,13.80%,297,16.70%,Y
2014-2015,43,69609,4334736,Santa Clara,Mountain View-Los Altos Union High,Alta Vista High,High School District,Continuation High Schools,Continuation School,,N,,,N,9,12,113,61,54.00%,76,67.30%,99,52,52.50%,66,66.70%,Y
2014-2015,43,69617,6048037,Santa Clara,Mt. Pleasant Elementary,August Boeger Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,590,372,63.10%,431,73.10%,590,372,63.10%,431,73.10%,Y
2014-2015,43,69617,6048045,Santa Clara,Mt. Pleasant Elementary,Ida Jew Academies,Elementary School District,Elementary Schools (Public),Traditional,,Y,1243,Locally funded,N,K,8,630,314,49.80%,411,65.20%,629,313,49.80%,410,65.20%,Y
2014-2015,43,69617,6048060,Santa Clara,Mt. Pleasant Elementary,Mt. Pleasant Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,354,268,75.70%,308,87.00%,340,258,75.90%,296,87.10%,Y
2014-2015,43,69617,6048078,Santa Clara,Mt. Pleasant Elementary,Robert Sanders Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,461,356,77.20%,384,83.30%,451,346,76.70%,374,82.90%,Y
2014-2015,43,69617,6067227,Santa Clara,Mt. Pleasant Elementary,Valle Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,467,220,47.10%,277,59.30%,465,219,47.10%,275,59.10%,Y
2014-2015,43,69625,1,Santa Clara,Oak Grove Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,17,2,11.80%,2,11.80%,17,2,11.80%,2,11.80%,Y
2014-2015,43,69625,6048086,Santa Clara,Oak Grove Elementary,Anderson (Alex) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,453,174,38.40%,223,49.20%,452,174,38.50%,223,49.30%,Y
2014-2015,43,69625,6048094,Santa Clara,Oak Grove Elementary,Davis (Caroline) Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,664,341,51.40%,415,62.50%,664,341,51.40%,415,62.50%,Y
2014-2015,43,69625,6048102,Santa Clara,Oak Grove Elementary,Christopher Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,463,298,64.40%,363,78.40%,463,298,64.40%,363,78.40%,Y
2014-2015,43,69625,6048110,Santa Clara,Oak Grove Elementary,Frost (Earl) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,666,150,22.50%,189,28.40%,666,150,22.50%,189,28.40%,Y
2014-2015,43,69625,6048128,Santa Clara,Oak Grove Elementary,Edenvale Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,566,438,77.40%,498,88.00%,550,433,78.70%,490,89.10%,Y
2014-2015,43,69625,6048136,Santa Clara,Oak Grove Elementary,Miner (George) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,466,270,57.90%,345,74.00%,446,263,59.00%,337,75.60%,Y
2014-2015,43,69625,6048144,Santa Clara,Oak Grove Elementary,Glider Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,668,196,29.30%,242,36.20%,668,196,29.30%,242,36.20%,Y
2014-2015,43,69625,6048177,Santa Clara,Oak Grove Elementary,Stipe (Samuel) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,380,262,68.90%,312,82.10%,368,254,69.00%,303,82.30%,Y
2014-2015,43,69625,6067243,Santa Clara,Oak Grove Elementary,Santa Teresa Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,646,183,28.30%,242,37.50%,633,178,28.10%,237,37.40%,Y
2014-2015,43,69625,6068167,Santa Clara,Oak Grove Elementary,Herman (Leonard) Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,5,8,822,228,27.70%,294,35.80%,822,228,27.70%,294,35.80%,Y
2014-2015,43,69625,6072144,Santa Clara,Oak Grove Elementary,Sakamoto Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,595,81,13.60%,118,19.80%,593,80,13.50%,117,19.70%,Y
2014-2015,43,69625,6072151,Santa Clara,Oak Grove Elementary,Del Roble Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,507,235,46.40%,300,59.20%,485,229,47.20%,293,60.40%,Y
2014-2015,43,69625,6072177,Santa Clara,Oak Grove Elementary,Bernal Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,7,8,807,179,22.20%,234,29.00%,807,179,22.20%,234,29.00%,Y
2014-2015,43,69625,6088306,Santa Clara,Oak Grove Elementary,Oak Ridge Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,534,120,22.50%,152,28.50%,515,119,23.10%,150,29.10%,Y
2014-2015,43,69625,6093066,Santa Clara,Oak Grove Elementary,Parkview Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,603,220,36.50%,299,49.60%,587,214,36.50%,292,49.70%,Y
2014-2015,43,69625,6095400,Santa Clara,Oak Grove Elementary,Baldwin (Julia) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,396,168,42.40%,204,51.50%,379,164,43.30%,199,52.50%,Y
2014-2015,43,69625,6097430,Santa Clara,Oak Grove Elementary,Taylor (Bertha) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,647,79,12.20%,110,17.00%,627,75,12.00%,106,16.90%,Y
2014-2015,43,69625,6099451,Santa Clara,Oak Grove Elementary,Hayes Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,517,180,34.80%,227,43.90%,517,180,34.80%,227,43.90%,Y
2014-2015,43,69625,6116081,Santa Clara,Oak Grove Elementary,Ledesma (Rita) Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,490,78,15.90%,113,23.10%,490,78,15.90%,113,23.10%,Y
2014-2015,43,69625,6117014,Santa Clara,Oak Grove Elementary,The Academy,Elementary School District,District Community Day Schools,Community Day School,,N,,,N,5,8,14,10,71.40%,12,85.70%,14,10,71.40%,12,85.70%,Y
2014-2015,43,69633,1,Santa Clara,Orchard Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2014-2015,43,69633,6048185,Santa Clara,Orchard Elementary,Orchard Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,N,,,N,K,8,889,376,42.30%,495,55.70%,878,372,42.40%,489,55.70%,Y
2014-2015,43,69641,1,Santa Clara,Palo Alto Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,38,1,2.60%,1,2.60%,32,1,3.10%,1,3.10%,Y
2014-2015,43,69641,4332904,Santa Clara,Palo Alto Unified,Henry M. Gunn High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,897",115,6.10%,140,7.40%,"1,856",113,6.10%,136,7.30%,Y
2014-2015,43,69641,4335782,Santa Clara,Palo Alto Unified,Palo Alto High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,943",108,5.60%,159,8.20%,"1,900",105,5.50%,156,8.20%,Y
2014-2015,43,69641,6048193,Santa Clara,Palo Alto Unified,Addison Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,463,39,8.40%,56,12.10%,463,39,8.40%,56,12.10%,Y
2014-2015,43,69641,6048201,Santa Clara,Palo Alto Unified,Herbert Hoover Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,406,20,4.90%,29,7.10%,406,20,4.90%,29,7.10%,Y
2014-2015,43,69641,6048235,Santa Clara,Palo Alto Unified,El Carmelo Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,407,39,9.60%,51,12.50%,407,39,9.60%,51,12.50%,Y
2014-2015,43,69641,6048243,Santa Clara,Palo Alto Unified,Ohlone Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,605,9,1.50%,16,2.60%,605,9,1.50%,16,2.60%,Y
2014-2015,43,69641,6048250,Santa Clara,Palo Alto Unified,Escondido Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,581,59,10.20%,92,15.80%,581,59,10.20%,92,15.80%,Y
2014-2015,43,69641,6048268,Santa Clara,Palo Alto Unified,Fairmeadow Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,548,27,4.90%,38,6.90%,548,27,4.90%,38,6.90%,Y
2014-2015,43,69641,6048292,Santa Clara,Palo Alto Unified,Duveneck Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,482,25,5.20%,29,6.00%,482,25,5.20%,29,6.00%,Y
2014-2015,43,69641,6048300,Santa Clara,Palo Alto Unified,Greendell,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,97,4,4.10%,4,4.10%,44,4,9.10%,4,9.10%,Y
2014-2015,43,69641,6048326,Santa Clara,Palo Alto Unified,Juana Briones Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,348,34,9.80%,47,13.50%,348,34,9.80%,47,13.50%,Y
2014-2015,43,69641,6048359,Santa Clara,Palo Alto Unified,Palo Verde Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,404,8,2.00%,13,3.20%,404,8,2.00%,13,3.20%,Y
2014-2015,43,69641,6048375,Santa Clara,Palo Alto Unified,Packard Children's Hospital/Stanford,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,40,1,2.50%,1,2.50%,37,1,2.70%,1,2.70%,Y
2014-2015,43,69641,6048409,Santa Clara,Palo Alto Unified,Walter Hays Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,521,36,6.90%,47,9.00%,521,36,6.90%,47,9.00%,Y
2014-2015,43,69641,6060065,Santa Clara,Palo Alto Unified,David Starr Jordan Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,103",59,5.30%,78,7.10%,"1,103",59,5.30%,78,7.10%,Y
2014-2015,43,69641,6060081,Santa Clara,Palo Alto Unified,Jane Lathrop Stanford Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,107",55,5.00%,83,7.50%,"1,107",55,5.00%,83,7.50%,Y
2014-2015,43,69641,6068241,Santa Clara,Palo Alto Unified,Lucille M. Nixon Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,477,23,4.80%,35,7.30%,477,23,4.80%,35,7.30%,Y
2014-2015,43,69641,6115562,Santa Clara,Palo Alto Unified,Barron Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,338,78,23.10%,85,25.10%,338,78,23.10%,85,25.10%,Y
2014-2015,43,69641,6118707,Santa Clara,Palo Alto Unified,Terman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,722,59,8.20%,80,11.10%,722,59,8.20%,80,11.10%,Y
2014-2015,43,69666,1,Santa Clara,San Jose Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,64,8,12.50%,8,12.50%,49,6,12.20%,6,12.20%,Y
2014-2015,43,69666,106823,Santa Clara,San Jose Unified,Lincoln Plus High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,42,22,52.40%,27,64.30%,36,18,50.00%,23,63.90%,Y
2014-2015,43,69666,129718,Santa Clara,San Jose Unified,Downtown College Preparatory Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1623,Directly funded,Y,6,8,124,86,69.40%,105,84.70%,124,86,69.40%,105,84.70%,Y
2014-2015,43,69666,4330080,Santa Clara,San Jose Unified,Gunderson High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,149",507,44.10%,612,53.30%,"1,121",492,43.90%,596,53.20%,Y
2014-2015,43,69666,4330411,Santa Clara,San Jose Unified,Community Career Academy (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,10,6,60.00%,6,60.00%,6,3,50.00%,3,50.00%,Y
2014-2015,43,69666,4330429,Santa Clara,San Jose Unified,Gunderson Plus (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,40,12,30.00%,19,47.50%,37,10,27.00%,17,45.90%,Y
2014-2015,43,69666,4330445,Santa Clara,San Jose Unified,Willow Glen Plus (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,32,14,43.80%,15,46.90%,30,12,40.00%,13,43.30%,Y
2014-2015,43,69666,4330452,Santa Clara,San Jose Unified,Pioneer Plus (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,45,11,24.40%,16,35.60%,37,10,27.00%,14,37.80%,Y
2014-2015,43,69666,4330460,Santa Clara,San Jose Unified,Leland Plus (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,40,11,27.50%,13,32.50%,36,10,27.80%,12,33.30%,Y
2014-2015,43,69666,4330478,Santa Clara,San Jose Unified,San Jose High Academy Plus,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,44,26,59.10%,27,61.40%,41,26,63.40%,27,65.90%,Y
2014-2015,43,69666,4330502,Santa Clara,San Jose Unified,Liberty High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,6,12,326,117,35.90%,126,38.70%,253,95,37.50%,100,39.50%,Y
2014-2015,43,69666,4330585,Santa Clara,San Jose Unified,Downtown College Preparatory,Unified School District,High Schools (Public),Traditional,,Y,287,Directly funded,Y,9,12,422,281,66.60%,354,83.90%,387,255,65.90%,325,84.00%,Y
2014-2015,43,69666,4330593,Santa Clara,San Jose Unified,Middle College High,Unified School District,High Schools (Public),Traditional,,N,,,N,10,12,51,9,17.60%,14,27.50%,49,9,18.40%,14,28.60%,Y
2014-2015,43,69666,4330734,Santa Clara,San Jose Unified,San Jose Community High,Unified School District,District Community Day Schools,Community Day School,,N,,,N,9,12,35,21,60.00%,27,77.10%,35,21,60.00%,27,77.10%,Y
2014-2015,43,69666,4332110,Santa Clara,San Jose Unified,Broadway High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,275,140,50.90%,152,55.30%,156,98,62.80%,106,67.90%,Y
2014-2015,43,69666,4333522,Santa Clara,San Jose Unified,Leland High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,784",107,6.00%,130,7.30%,"1,751",101,5.80%,124,7.10%,Y
2014-2015,43,69666,4333795,Santa Clara,San Jose Unified,Abraham Lincoln High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,851",811,43.80%,991,53.50%,"1,811",792,43.70%,970,53.60%,Y
2014-2015,43,69666,4335949,Santa Clara,San Jose Unified,Pioneer High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,570",309,19.70%,378,24.10%,"1,536",298,19.40%,367,23.90%,Y
2014-2015,43,69666,4337200,Santa Clara,San Jose Unified,San Jos‚ High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,034",613,59.30%,718,69.40%,"1,006",595,59.10%,699,69.50%,Y
2014-2015,43,69666,4338950,Santa Clara,San Jose Unified,Willow Glen High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,660",491,29.60%,582,35.10%,"1,615",479,29.70%,567,35.10%,Y
2014-2015,43,69666,6048417,Santa Clara,San Jose Unified,Allen at Steinbeck,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,763,360,47.20%,417,54.70%,747,354,47.40%,409,54.80%,Y
2014-2015,43,69666,6048425,Santa Clara,San Jose Unified,Almaden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,389,249,64.00%,291,74.80%,388,248,63.90%,290,74.70%,Y
2014-2015,43,69666,6048433,Santa Clara,San Jose Unified,Anne Darling Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,462,315,68.20%,365,79.00%,449,307,68.40%,353,78.60%,Y
2014-2015,43,69666,6048474,Santa Clara,San Jose Unified,Booksin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,851,82,9.60%,108,12.70%,833,79,9.50%,105,12.60%,Y
2014-2015,43,69666,6048490,Santa Clara,San Jose Unified,Canoas Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,373,230,61.70%,260,69.70%,356,220,61.80%,247,69.40%,Y
2014-2015,43,69666,6048516,Santa Clara,San Jose Unified,Empire Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,438,320,73.10%,368,84.00%,409,299,73.10%,344,84.10%,Y
2014-2015,43,69666,6048532,Santa Clara,San Jose Unified,Gardner Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,477,300,62.90%,352,73.80%,477,300,62.90%,352,73.80%,Y
2014-2015,43,69666,6048540,Santa Clara,San Jose Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,587,416,70.90%,484,82.50%,572,406,71.00%,470,82.20%,Y
2014-2015,43,69666,6048565,Santa Clara,San Jose Unified,Hammer Montessori at Galarza Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,326,55,16.90%,75,23.00%,325,55,16.90%,75,23.10%,Y
2014-2015,43,69666,6048599,Santa Clara,San Jose Unified,Horace Mann Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,516,322,62.40%,380,73.60%,500,308,61.60%,365,73.00%,Y
2014-2015,43,69666,6048649,Santa Clara,San Jose Unified,Lowell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,409,294,71.90%,330,80.70%,392,286,73.00%,317,80.90%,Y
2014-2015,43,69666,6048656,Santa Clara,San Jose Unified,Merritt Trace Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,979,456,46.60%,539,55.10%,978,456,46.60%,539,55.10%,Y
2014-2015,43,69666,6048664,Santa Clara,San Jose Unified,Reed Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,513,101,19.70%,121,23.60%,492,96,19.50%,115,23.40%,Y
2014-2015,43,69666,6048672,Santa Clara,San Jose Unified,River Glen,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,526,167,31.70%,233,44.30%,526,167,31.70%,233,44.30%,Y
2014-2015,43,69666,6048680,Santa Clara,San Jose Unified,Schallenberger Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,531,91,17.10%,120,22.60%,512,87,17.00%,114,22.30%,Y
2014-2015,43,69666,6048698,Santa Clara,San Jose Unified,Selma Olinder Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,469,361,77.00%,407,86.80%,457,352,77.00%,398,87.10%,Y
2014-2015,43,69666,6048706,Santa Clara,San Jose Unified,Simonds Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,745,23,3.10%,30,4.00%,729,22,3.00%,28,3.80%,Y
2014-2015,43,69666,6048714,Santa Clara,San Jose Unified,Terrell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,501,183,36.50%,230,45.90%,485,177,36.50%,221,45.60%,Y
